Player,Age,Pos,Min_24,90s_24,Gls_24,Ast_24,G+A_24,xG_24,npxG_24,xAG_24,PrgC_24,PrgP_24,PrgR_24,Min_25,90s_25,Gls_25,Ast_25,G+A_25,PrgC_25,PrgP_25,PrgR_25,xG_25,xAG_25,Age_current,GA_per90_24,xG_per90_24,xAG_per90_24,GA_per90_25,xG_per90_25,xAG_per90_25,GA_consistency,GA_volatility,xG_consistency,xG_volatility,xAG_consistency,xAG_volatility,GA_trend,xG_trend,xAG_trend,Pos_encoded,Pos_24
Adrian Baquerin,17.0,FW,49.0,0.5,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,-0.8,0.0,1,FW
Adrian Beck,27.0,MF,1598.0,17.8,4.0,1.0,5.0,3.3,3.3,1.2,37.0,69.0,83.0,81.0,0.9,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,29.0,0.28089887640449435,0.18539325842696627,0.06741573033707865,0.0,0.0,0.0,0.14044943820224717,0.28089887640449435,0.09269662921348314,0.18539325842696627,0.033707865168539325,0.06741573033707865,-0.28089887640449435,-0.18539325842696627,-0.06741573033707865,3,MF
Adrian Benedyczak,23.0,FW,214.0,2.4,0.0,0.0,0.0,0.3,0.3,0.1,3.0,3.0,12.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.125,0.04166666666666667,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.020833333333333336,0.04166666666666667,0.0,-0.125,-0.04166666666666667,1,FW
Adrian Bernabe,23.0,MF,1453.0,16.1,1.0,1.0,2.0,1.3,1.3,1.1,37.0,115.0,20.0,258.0,2.9,0.0,0.0,0.0,6.0,21.0,3.0,0.0,0.0,25.0,0.12422360248447203,0.08074534161490683,0.06832298136645963,0.0,0.0,0.0,0.06211180124223602,0.12422360248447203,0.040372670807453416,0.08074534161490683,0.034161490683229816,0.06832298136645963,-0.12422360248447203,-0.08074534161490683,-0.06832298136645963,3,MF
Adrian Niño,20.0,FW,12.0,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-2.0,0.0,1,FW
Adrian Rodriguez,23.0,GK,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,GK
Adrian Šemper,,MF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,MF
Adrien Rabiot,29.0,MF,2485.0,27.6,9.0,4.0,13.0,7.3,7.3,3.8,79.0,168.0,174.0,90.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,31.0,0.47101449275362317,0.26449275362318836,0.13768115942028983,0.0,0.0,0.0,0.23550724637681159,0.47101449275362317,0.13224637681159418,0.26449275362318836,0.06884057971014491,0.13768115942028983,-0.47101449275362317,-0.26449275362318836,-0.13768115942028983,3,MF
Adrien Tameze,30.0,MF,649.0,7.2,0.0,0.0,0.0,0.4,0.4,0.8,16.0,23.0,21.0,54.0,0.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,0.0,0.05555555555555556,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.02777777777777778,0.05555555555555556,0.05555555555555556,0.11111111111111112,0.0,-0.05555555555555556,-0.11111111111111112,3,MF
Adrien Thomasson,30.0,MF,2615.0,29.1,3.0,7.0,10.0,5.9,5.9,6.0,30.0,149.0,138.0,360.0,4.0,1.0,0.0,1.0,1.0,16.0,12.0,0.85,0.0,32.0,0.3436426116838488,0.2027491408934708,0.20618556701030927,0.25,0.2125,0.0,0.2968213058419244,0.0936426116838488,0.20762457044673538,0.009750859106529203,0.10309278350515463,0.20618556701030927,-0.0936426116838488,0.009750859106529203,-0.20618556701030927,3,MF
